IP:Port,Loss,Latency
162.159.192.184:1701,0%,157.05
162.159.192.18:7103,0%,157.05
162.159.195.30:8319,0%,157.06
162.159.192.148:7156,0%,157.07
162.159.192.251:8854,0%,157.07
162.159.195.31:1074,0%,157.08
162.159.192.37:7103,0%,157.09
162.159.195.197:7559,0%,157.10
162.159.195.245:2506,0%,157.10
162.159.192.217:3138,0%,157.12
162.159.192.195:988,0%,157.12
162.159.192.89:1014,0%,157.12
162.159.195.146:5279,0%,157.12
162.159.192.29:7156,0%,157.13
162.159.195.130:1180,0%,157.14
162.159.195.159:8319,0%,157.14
162.159.192.184:859,0%,157.15
162.159.192.211:968,0%,157.15
162.159.192.17:890,0%,157.15
162.159.192.116:878,0%,157.16
162.159.195.150:3854,0%,157.16
162.159.195.215:988,0%,157.17
162.159.192.208:7152,0%,157.17
162.159.192.3:880,0%,157.17
162.159.192.98:1018,0%,157.18
162.159.195.6:5956,0%,157.18
162.159.195.221:7281,0%,157.19
162.159.192.125:7281,0%,157.19
162.159.195.181:1180,0%,157.19
162.159.195.175:939,0%,157.21
162.159.195.27:8742,0%,157.22
162.159.195.213:5279,0%,157.23
162.159.195.213:854,0%,157.24
162.159.192.57:4500,0%,157.25
162.159.192.98:942,0%,157.28
162.159.192.205:942,0%,157.28
162.159.195.60:1014,0%,157.29
162.159.192.188:878,0%,157.29
162.159.195.237:500,0%,157.30
162.159.192.69:8854,0%,157.30
162.159.195.173:1387,0%,157.30
162.159.192.79:3476,0%,157.30
162.159.195.225:928,0%,157.31
162.159.192.33:894,0%,157.32
162.159.192.200:1002,0%,157.33
162.159.195.208:988,0%,157.33
162.159.195.179:1018,0%,157.34
162.159.195.168:859,0%,157.35
162.159.192.15:7281,0%,157.35
162.159.195.242:854,0%,157.37
162.159.195.6:2371,0%,157.37
162.159.195.213:939,0%,157.37
162.159.195.18:987,0%,157.38
162.159.195.91:7156,0%,157.39
162.159.195.182:3581,0%,157.41
162.159.192.43:1018,0%,157.41
162.159.192.248:946,0%,157.42
162.159.195.168:7156,0%,157.42
162.159.192.252:987,0%,157.44
162.159.195.247:4233,0%,157.44
162.159.192.239:3476,0%,157.45
162.159.192.236:1701,0%,157.45
162.159.192.195:3854,0%,157.46
162.159.192.8:943,0%,157.47
162.159.195.19:7156,0%,157.47
162.159.195.168:1014,0%,157.47
162.159.195.13:7156,0%,157.47
162.159.192.254:4233,0%,157.48
162.159.195.151:943,0%,157.48
162.159.195.152:1010,0%,157.48
162.159.192.147:942,0%,157.48
162.159.195.36:1002,0%,157.49
162.159.192.59:864,0%,157.49
162.159.195.230:2408,0%,157.50
162.159.192.111:878,0%,157.50
162.159.192.134:880,0%,157.53
162.159.195.23:943,0%,157.54
162.159.192.30:7281,0%,157.54
162.159.192.217:908,0%,157.54
162.159.192.3:8854,0%,157.54
162.159.192.99:7152,0%,157.55
162.159.195.165:859,0%,157.55
162.159.195.76:1180,0%,157.55
162.159.195.14:2506,0%,157.56
162.159.195.208:4177,0%,157.56
162.159.195.152:859,0%,157.57
162.159.195.146:955,0%,157.58
162.159.195.183:8854,0%,157.58
162.159.192.86:945,0%,157.58
162.159.192.206:7559,0%,157.58
162.159.195.159:1180,0%,157.59
162.159.195.208:1002,0%,157.60
162.159.195.198:1074,0%,157.61
162.159.195.226:7152,0%,157.62
162.159.192.232:7281,0%,157.62
162.159.192.252:3476,0%,157.62
162.159.192.118:908,0%,157.63
162.159.192.236:2371,0%,157.63
162.159.192.156:4177,0%,157.63
162.159.195.243:8319,0%,157.64
162.159.192.90:903,0%,157.64
162.159.192.90:894,0%,157.65
162.159.195.224:1074,0%,157.65
162.159.195.31:928,0%,157.66
162.159.192.156:3581,0%,157.67
162.159.195.23:1180,0%,157.67
162.159.192.208:7281,0%,157.68
162.159.192.133:4198,0%,157.68
162.159.195.77:890,0%,157.68
162.159.192.206:1014,0%,157.69
162.159.195.228:864,0%,157.72
